INFO:depchase:DEPENDENCY INFORMATION                                                          
INFO                                              MATCH
├─libz.so.1()(64bit)                              zlib-1.2.11-4.fc27.x86_64
├─libdl.so.2(GLIBC_2.2.5)(64bit)                  glibc-2.26-1.fc27.1.x86_64
├─libc.so.6(GLIBC_2.17)(64bit)                    glibc-2.26-1.fc27.1.x86_64
├─crypto-policies                                 crypto-policies-20170802-1.git9300620.fc27.noarch
└─ca-certificates >= 2008-5                       ca-certificates-2017.2.16-3.fc27.noarch
xz-libs-5.2.3-4.fc27.x86_64                       
├─rtld(GNU_HASH)                                  glibc-2.26-1.fc27.1.x86_64
├─libpthread.so.0()(64bit)                        glibc-2.26-1.fc27.1.x86_64
├─libpthread.so.0(GLIBC_2.2.5)(64bit)             glibc-2.26-1.fc27.1.x86_64
├─libc.so.6(GLIBC_2.17)(64bit)                    glibc-2.26-1.fc27.1.x86_64
├─libpthread.so.0(GLIBC_2.3.2)(64bit)             glibc-2.26-1.fc27.1.x86_64
└─libpthread.so.0(GLIBC_2.3.3)(64bit)             glibc-2.26-1.fc27.1.x86_64
zlib-1.2.11-4.fc27.x86_64                         
├─rtld(GNU_HASH)                                  glibc-2.26-1.fc27.1.x86_64
└─libc.so.6(GLIBC_2.14)(64bit)                    glibc-2.26-1.fc27.1.x86_64
bash-4.4.12-9.fc27.x86_64                         
├─rtld(GNU_HASH)                                  glibc-2.26-1.fc27.1.x86_64
├─libdl.so.2()(64bit)                             glibc-2.26-1.fc27.1.x86_64
├─libdl.so.2(GLIBC_2.2.5)(64bit)                  glibc-2.26-1.fc27.1.x86_64
├─libc.so.6(GLIBC_2.15)(64bit)                    glibc-2.26-1.fc27.1.x86_64
├─libtinfo.so.6()(64bit)                          ncurses-libs-6.0-13.20170722.fc27.x86_64
└─filesystem >= 3                                 filesystem-3.3-3.fc27.x86_64
systemd-234-5.fc27.x86_64                         
├─rtld(GNU_HASH)                                  glibc-2.26-1.fc27.1.x86_64
├─libpthread.so.0()(64bit)                        glibc-2.26-1.fc27.1.x86_64
├─libpthread.so.0(GLIBC_2.2.5)(64bit)             glibc-2.26-1.fc27.1.x86_64
├─libdl.so.2()(64bit)                             glibc-2.26-1.fc27.1.x86_64
├─libm.so.6()(64bit)                              glibc-2.26-1.fc27.1.x86_64
├─libz.so.1()(64bit)                              zlib-1.2.11-4.fc27.x86_64
├─libdl.so.2(GLIBC_2.2.5)(64bit)                  glibc-2.26-1.fc27.1.x86_64
├─libgcc_s.so.1()(64bit)                          libgcc-7.1.1-7.fc27.1.x86_64
├─libgcc_s.so.1(GCC_3.0)(64bit)                   libgcc-7.1.1-7.fc27.1.x86_64
├─libselinux.so.1()(64bit)                        libselinux-2.7-1.fc27.x86_64
├─ld-linux-x86-64.so.2()(64bit)                   glibc-2.26-1.fc27.1.x86_64
├─ld-linux-x86-64.so.2(GLIBC_2.3)(64bit)          glibc-2.26-1.fc27.1.x86_64
├─librt.so.1()(64bit)                             glibc-2.26-1.fc27.1.x86_64
├─/bin/bash                                       bash-4.4.12-9.fc27.x86_64
├─liblzma.so.5()(64bit)                           xz-libs-5.2.3-4.fc27.x86_64
├─libcrypt.so.1()(64bit)                          libcrypt-2.26-1.fc27.1.x86_64
├─libbz2.so.1()(64bit)                            bzip2-libs-1.0.6-24.fc27.x86_64
├─libacl.so.1()(64bit)                            libacl-2.2.52-18.fc27.x86_64
├─libelf.so.1()(64bit)                            elfutils-libelf-0.170-1.fc27.x86_64
├─libgcc_s.so.1(GCC_3.3.1)(64bit)                 libgcc-7.1.1-7.fc27.1.x86_64
├─libcap.so.2()(64bit)                            libcap-2.25-7.fc27.x86_64
├─util-linux                                      util-linux-2.30.1-1.fc27.x86_64
├─libaudit.so.1()(64bit)                          audit-libs-2.7.7-5.fc27.x86_64
├─libc.so.6(GLIBC_2.25)(64bit)                    glibc-2.26-1.fc27.1.x86_64
├─libblkid.so.1()(64bit)                          libblkid-2.30.1-1.fc27.x86_64
├─libgpg-error.so.0()(64bit)                      libgpg-error-1.27-3.fc27.x86_64
├─libcrypt.so.1(GLIBC_2.2.5)(64bit)               libcrypt-2.26-1.fc27.1.x86_64
├─liblzma.so.5(XZ_5.0)(64bit)                     xz-libs-5.2.3-4.fc27.x86_64
├─libblkid.so.1(BLKID_2.15)(64bit)                libblkid-2.30.1-1.fc27.x86_64
├─libblkid.so.1(BLKID_2.17)(64bit)                libblkid-2.30.1-1.fc27.x86_64
├─libmount.so.1()(64bit)                          libmount-2.30.1-1.fc27.x86_64
├─libelf.so.1(ELFUTILS_1.0)(64bit)                elfutils-libelf-0.170-1.fc27.x86_64
├─libpam.so.0()(64bit)                            pam-1.3.0-5.fc27.x86_64
├─libacl.so.1(ACL_1.0)(64bit)                     libacl-2.2.52-18.fc27.x86_64
├─libgcrypt.so.20()(64bit)                        libgcrypt-1.7.8-3.fc27.x86_64
├─libgcrypt.so.20(GCRYPT_1.6)(64bit)              libgcrypt-1.7.8-3.fc27.x86_64
├─libgpg-error.so.0(GPG_ERROR_1.0)(64bit)         libgpg-error-1.27-3.fc27.x86_64
├─libpam.so.0(LIBPAM_1.0)(64bit)                  pam-1.3.0-5.fc27.x86_64
├─libdw.so.1()(64bit)                             elfutils-libs-0.170-1.fc27.x86_64
├─libcryptsetup.so.4()(64bit)                     cryptsetup-libs-1.7.5-3.fc27.x86_64
├─libcryptsetup.so.4(CRYPTSETUP_1.0)(64bit)       cryptsetup-libs-1.7.5-3.fc27.x86_64
├─liblz4.so.1()(64bit)                            lz4-libs-1.7.5-6.fc27.x86_64
├─libidn.so.11()(64bit)                           libidn-1.33-4.fc27.x86_64
├─libmount.so.1(MOUNT_2.19)(64bit)                libmount-2.30.1-1.fc27.x86_64
├─libidn.so.11(LIBIDN_1.0)(64bit)                 libidn-1.33-4.fc27.x86_64
├─libseccomp.so.2()(64bit)                        libseccomp-2.3.2-5.fc27.x86_64
├─libblkid.so.1(BLKID_2.18)(64bit)                libblkid-2.30.1-1.fc27.x86_64
├─libdw.so.1(ELFUTILS_0.122)(64bit)               elfutils-libs-0.170-1.fc27.x86_64
├─libkmod.so.2()(64bit)                           kmod-libs-24-3.fc27.x86_64
├─libmount.so.1(MOUNT_2.20)(64bit)                libmount-2.30.1-1.fc27.x86_64
├─libdw.so.1(ELFUTILS_0.130)(64bit)               elfutils-libs-0.170-1.fc27.x86_64
├─libdw.so.1(ELFUTILS_0.158)(64bit)               elfutils-libs-0.170-1.fc27.x86_64
├─libip4tc.so.0()(64bit)                          iptables-libs-1.6.1-4.fc27.x86_64
├─libkmod.so.2(LIBKMOD_5)(64bit)                  kmod-libs-24-3.fc27.x86_64
├─libm.so.6(GLIBC_2.15)(64bit)                    glibc-2.26-1.fc27.1.x86_64
├─libqrencode.so.3()(64bit)                       qrencode-libs-3.4.4-3.fc27.x86_64
├─librt.so.1(GLIBC_2.3.4)(64bit)                  glibc-2.26-1.fc27.1.x86_64
├─libmount.so.1(MOUNT_2.26)(64bit)                libmount-2.30.1-1.fc27.x86_64
├─systemd-pam = 234-5.fc27                        systemd-pam-234-5.fc27.x86_64
├─systemd-libs = 234-5.fc27                       systemd-libs-234-5.fc27.x86_64
└─dbus >= 1.9.18                                  dbus-1:1.11.14-1.fc27.x86_64
dbus-1:1.11.14-1.fc27.x86_64                      
├─rtld(GNU_HASH)                                  glibc-2.26-1.fc27.1.x86_64
├─libc.so.6(GLIBC_2.14)(64bit)                    glibc-2.26-1.fc27.1.x86_64
├─libpthread.so.0()(64bit)                        glibc-2.26-1.fc27.1.x86_64
├─libpthread.so.0(GLIBC_2.2.5)(64bit)             glibc-2.26-1.fc27.1.x86_64
├─libdbus-1.so.3()(64bit)                         dbus-libs-1:1.11.14-1.fc27.x86_64
├─libexpat.so.1()(64bit)                          expat-2.2.3-1.fc27.x86_64
├─libsystemd.so.0()(64bit)                        systemd-libs-234-5.fc27.x86_64
├─libdbus-1.so.3(LIBDBUS_1_3)(64bit)              dbus-libs-1:1.11.14-1.fc27.x86_64
├─libselinux.so.1()(64bit)                        libselinux-2.7-1.fc27.x86_64
├─libsystemd.so.0(LIBSYSTEMD_209)(64bit)          systemd-libs-234-5.fc27.x86_64
├─libaudit.so.1()(64bit)                          audit-libs-2.7.7-5.fc27.x86_64
├─libcap-ng.so.0()(64bit)                         libcap-ng-0.7.8-5.fc27.x86_64
├─libdbus-1.so.3(LIBDBUS_PRIVATE_1.11.14)(64bit)  dbus-libs-1:1.11.14-1.fc27.x86_64
├─dbus-libs(x86-64) = 1:1.11.14-1.fc27            dbus-libs-1:1.11.14-1.fc27.x86_64
└─libselinux(x86-64) >= 2.0.86                    libselinux-2.7-1.fc27.x86_64
systemd-libs-234-5.fc27.x86_64                    
├─rtld(GNU_HASH)                                  glibc-2.26-1.fc27.1.x86_64
├─libpthread.so.0()(64bit)                        glibc-2.26-1.fc27.1.x86_64
├─/sbin/ldconfig                                  glibc-2.26-1.fc27.1.x86_64
├─libpthread.so.0(GLIBC_2.2.5)(64bit)             glibc-2.26-1.fc27.1.x86_64
├─libgcc_s.so.1()(64bit)                          libgcc-7.1.1-7.fc27.1.x86_64
├─libgcc_s.so.1(GCC_3.0)(64bit)                   libgcc-7.1.1-7.fc27.1.x86_64
├─libselinux.so.1()(64bit)                        libselinux-2.7-1.fc27.x86_64
├─ld-linux-x86-64.so.2()(64bit)                   glibc-2.26-1.fc27.1.x86_64
├─ld-linux-x86-64.so.2(GLIBC_2.3)(64bit)          glibc-2.26-1.fc27.1.x86_64
├─librt.so.1()(64bit)                             glibc-2.26-1.fc27.1.x86_64
├─liblzma.so.5()(64bit)                           xz-libs-5.2.3-4.fc27.x86_64
├─libgcc_s.so.1(GCC_3.3.1)(64bit)                 libgcc-7.1.1-7.fc27.1.x86_64
├─libc.so.6(GLIBC_2.25)(64bit)                    glibc-2.26-1.fc27.1.x86_64
├─liblzma.so.5(XZ_5.0)(64bit)                     xz-libs-5.2.3-4.fc27.x86_64
├─libgcrypt.so.20()(64bit)                        libgcrypt-1.7.8-3.fc27.x86_64
├─libgcrypt.so.20(GCRYPT_1.6)(64bit)              libgcrypt-1.7.8-3.fc27.x86_64
├─liblz4.so.1()(64bit)                            lz4-libs-1.7.5-6.fc27.x86_64
└─librt.so.1(GLIBC_2.3.4)(64bit)                  glibc-2.26-1.fc27.1.x86_64
systemd-pam-234-5.fc27.x86_64                     
├─rtld(GNU_HASH)                                  glibc-2.26-1.fc27.1.x86_64
├─libpthread.so.0()(64bit)                        glibc-2.26-1.fc27.1.x86_64
├─libpthread.so.0(GLIBC_2.2.5)(64bit)             glibc-2.26-1.fc27.1.x86_64
├─libgcc_s.so.1()(64bit)                          libgcc-7.1.1-7.fc27.1.x86_64
├─libgcc_s.so.1(GCC_3.0)(64bit)                   libgcc-7.1.1-7.fc27.1.x86_64
├─libselinux.so.1()(64bit)                        libselinux-2.7-1.fc27.x86_64
├─ld-linux-x86-64.so.2()(64bit)                   glibc-2.26-1.fc27.1.x86_64
├─ld-linux-x86-64.so.2(GLIBC_2.3)(64bit)          glibc-2.26-1.fc27.1.x86_64
├─libgcc_s.so.1(GCC_3.3.1)(64bit)                 libgcc-7.1.1-7.fc27.1.x86_64
├─libc.so.6(GLIBC_2.25)(64bit)                    glibc-2.26-1.fc27.1.x86_64
├─libpam.so.0()(64bit)                            pam-1.3.0-5.fc27.x86_64
├─libpam.so.0(LIBPAM_1.0)(64bit)                  pam-1.3.0-5.fc27.x86_64
├─libpam_misc.so.0()(64bit)                       pam-1.3.0-5.fc27.x86_64
├─libpam_misc.so.0(LIBPAM_MISC_1.0)(64bit)        pam-1.3.0-5.fc27.x86_64
├─libpam.so.0(LIBPAM_EXTENSION_1.0)(64bit)        pam-1.3.0-5.fc27.x86_64
├─libpam.so.0(LIBPAM_MODUTIL_1.0)(64bit)          pam-1.3.0-5.fc27.x86_64
└─systemd = 234-5.fc27                            systemd-234-5.fc27.x86_64
dbus-libs-1:1.11.14-1.fc27.x86_64                 
├─rtld(GNU_HASH)                                  glibc-2.26-1.fc27.1.x86_64
├─libpthread.so.0()(64bit)                        glibc-2.26-1.fc27.1.x86_64
├─libpthread.so.0(GLIBC_2.2.5)(64bit)             glibc-2.26-1.fc27.1.x86_64
├─libpthread.so.0(GLIBC_2.3.2)(64bit)             glibc-2.26-1.fc27.1.x86_64
├─libc.so.6(GLIBC_2.17)(64bit)                    glibc-2.26-1.fc27.1.x86_64
├─libsystemd.so.0()(64bit)                        systemd-libs-234-5.fc27.x86_64
├─libsystemd.so.0(LIBSYSTEMD_209)(64bit)          systemd-libs-234-5.fc27.x86_64
└─libpthread.so.0(GLIBC_2.3.3)(64bit)             glibc-2.26-1.fc27.1.x86_64
shadow-utils-2:4.5-3.fc27.x86_64                  
├─rtld(GNU_HASH)                                  glibc-2.26-1.fc27.1.x86_64
├─libc.so.6(GLIBC_2.14)(64bit)                    glibc-2.26-1.fc27.1.x86_64
├─libselinux.so.1()(64bit)                        libselinux-2.7-1.fc27.x86_64
├─libcrypt.so.1()(64bit)                          libcrypt-2.26-1.fc27.1.x86_64
├─libacl.so.1()(64bit)                            libacl-2.2.52-18.fc27.x86_64
├─libaudit.so.1()(64bit)                          audit-libs-2.7.7-5.fc27.x86_64
├─libcrypt.so.1(GLIBC_2.2.5)(64bit)               libcrypt-2.26-1.fc27.1.x86_64
├─libattr.so.1()(64bit)                           libattr-2.4.47-21.fc27.x86_64
├─setup                                           setup-2.10.5-3.fc27.noarch
├─libsemanage.so.1()(64bit)                       libsemanage-2.7-1.fc27.x86_64
├─libattr.so.1(ATTR_1.1)(64bit)                   libattr-2.4.47-21.fc27.x86_64
├─libsemanage.so.1(LIBSEMANAGE_1.0)(64bit)        libsemanage-2.7-1.fc27.x86_64
├─libacl.so.1(ACL_1.1)(64bit)                     libacl-2.2.52-18.fc27.x86_64
├─audit-libs >= 1.6.5                             audit-libs-2.7.7-5.fc27.x86_64
└─libselinux >= 1.25.2-1                          libselinux-2.7-1.fc27.x86_64
libgcc-7.1.1-7.fc27.1.x86_64                      
libselinux-2.7-1.fc27.x86_64                      
├─rtld(GNU_HASH)                                  glibc-2.26-1.fc27.1.x86_64
├─libc.so.6(GLIBC_2.14)(64bit)                    glibc-2.26-1.fc27.1.x86_64
├─libdl.so.2()(64bit)                             glibc-2.26-1.fc27.1.x86_64
├─libdl.so.2(GLIBC_2.2.5)(64bit)                  glibc-2.26-1.fc27.1.x86_64
├─ld-linux-x86-64.so.2()(64bit)                   glibc-2.26-1.fc27.1.x86_64
├─ld-linux-x86-64.so.2(GLIBC_2.3)(64bit)          glibc-2.26-1.fc27.1.x86_64
├─libsepol.so.1()(64bit)                          libsepol-2.7-1.fc27.x86_64
├─pcre                                            pcre-8.41-1.fc27.2.x86_64
├─libsepol.so.1(LIBSEPOL_1.0)(64bit)              libsepol-2.7-1.fc27.x86_64
├─libpcre2-8.so.0()(64bit)                        pcre2-10.30-0.6.RC1.fc27.x86_64
└─libsepol(x86-64) >= 2.7-1                       libsepol-2.7-1.fc27.x86_64
libsepol-2.7-1.fc27.x86_64                        
├─rtld(GNU_HASH)                                  glibc-2.26-1.fc27.1.x86_64
├─libc.so.6(GLIBC_2.14)(64bit)                    glibc-2.26-1.fc27.1.x86_64
└─/sbin/ldconfig                                  glibc-2.26-1.fc27.1.x86_64
pam-1.3.0-5.fc27.x86_64                           
├─rtld(GNU_HASH)                                  glibc-2.26-1.fc27.1.x86_64
├─libdl.so.2()(64bit)                             glibc-2.26-1.fc27.1.x86_64
├─libdl.so.2(GLIBC_2.2.5)(64bit)                  glibc-2.26-1.fc27.1.x86_64
├─libselinux.so.1()(64bit)                        libselinux-2.7-1.fc27.x86_64
├─libc.so.6(GLIBC_2.15)(64bit)                    glibc-2.26-1.fc27.1.x86_64
├─libcrypt.so.1()(64bit)                          libcrypt-2.26-1.fc27.1.x86_64
├─libutil.so.1()(64bit)                           glibc-2.26-1.fc27.1.x86_64
├─libdb-5.3.so()(64bit)                           libdb-5.3.28-26.fc27.x86_64
├─libaudit.so.1()(64bit)                          audit-libs-2.7.7-5.fc27.x86_64
├─libnsl.so.1()(64bit)                            glibc-2.26-1.fc27.1.x86_64
├─libcrypt.so.1(GLIBC_2.2.5)(64bit)               libcrypt-2.26-1.fc27.1.x86_64
├─libutil.so.1(GLIBC_2.2.5)(64bit)                glibc-2.26-1.fc27.1.x86_64
├─libnsl.so.1(GLIBC_2.2.5)(64bit)                 glibc-2.26-1.fc27.1.x86_64
├─libcrack.so.2()(64bit)                          cracklib-2.9.6-7.fc27.x86_64
├─audit-libs >= 1.0.8                             audit-libs-2.7.7-5.fc27.x86_64
├─glibc >= 2.3.90-37                              glibc-2.26-1.fc27.1.x86_64
├─libpwquality >= 0.9.9                           libpwquality-1.4.0-3.fc27.x86_64
└─libselinux >= 1.33.2                            libselinux-2.7-1.fc27.x86_64
grep-3.1-3.fc27.x86_64                            
├─rtld(GNU_HASH)                                  glibc-2.26-1.fc27.1.x86_64
├─libc.so.6(GLIBC_2.14)(64bit)                    glibc-2.26-1.fc27.1.x86_64
└─libpcre.so.1()(64bit)                           pcre-8.41-1.fc27.2.x86_64
libgcrypt-1.7.8-3.fc27.x86_64                     
├─rtld(GNU_HASH)                                  glibc-2.26-1.fc27.1.x86_64
├─libc.so.6(GLIBC_2.14)(64bit)                    glibc-2.26-1.fc27.1.x86_64
├─libdl.so.2()(64bit)                             glibc-2.26-1.fc27.1.x86_64
├─libdl.so.2(GLIBC_2.2.5)(64bit)                  glibc-2.26-1.fc27.1.x86_64
├─libgpg-error.so.0()(64bit)                      libgpg-error-1.27-3.fc27.x86_64
└─libgpg-error.so.0(GPG_ERROR_1.0)(64bit)         libgpg-error-1.27-3.fc27.x86_64
lz4-libs-1.7.5-6.fc27.x86_64                      
├─rtld(GNU_HASH)                                  glibc-2.26-1.fc27.1.x86_64
└─libc.so.6(GLIBC_2.14)(64bit)                    glibc-2.26-1.fc27.1.x86_64
sed-4.4-3.fc27.x86_64                             
├─rtld(GNU_HASH)                                  glibc-2.26-1.fc27.1.x86_64
├─libc.so.6(GLIBC_2.14)(64bit)                    glibc-2.26-1.fc27.1.x86_64
├─libselinux.so.1()(64bit)                        libselinux-2.7-1.fc27.x86_64
├─libacl.so.1()(64bit)                            libacl-2.2.52-18.fc27.x86_64
└─libacl.so.1(ACL_1.0)(64bit)                     libacl-2.2.52-18.fc27.x86_64
acl-2.2.52-18.fc27.x86_64                         
├─rtld(GNU_HASH)                                  glibc-2.26-1.fc27.1.x86_64
├─libc.so.6(GLIBC_2.14)(64bit)                    glibc-2.26-1.fc27.1.x86_64
├─libacl.so.1()(64bit)                            libacl-2.2.52-18.fc27.x86_64
├─libacl.so.1(ACL_1.0)(64bit)                     libacl-2.2.52-18.fc27.x86_64
├─libattr.so.1()(64bit)                           libattr-2.4.47-21.fc27.x86_64
└─libacl = 2.2.52-18.fc27                         libacl-2.2.52-18.fc27.x86_64
libacl-2.2.52-18.fc27.x86_64                      
├─rtld(GNU_HASH)                                  glibc-2.26-1.fc27.1.x86_64
├─libc.so.6(GLIBC_2.14)(64bit)                    glibc-2.26-1.fc27.1.x86_64
├─libattr.so.1()(64bit)                           libattr-2.4.47-21.fc27.x86_64
└─libattr.so.1(ATTR_1.0)(64bit)                   libattr-2.4.47-21.fc27.x86_64
audit-libs-2.7.7-5.fc27.x86_64                    
├─rtld(GNU_HASH)                                  glibc-2.26-1.fc27.1.x86_64
├─libc.so.6(GLIBC_2.14)(64bit)                    glibc-2.26-1.fc27.1.x86_64
└─libcap-ng.so.0()(64bit)                         libcap-ng-0.7.8-5.fc27.x86_64
bzip2-libs-1.0.6-24.fc27.x86_64                   
├─rtld(GNU_HASH)                                  glibc-2.26-1.fc27.1.x86_64
└─libc.so.6(GLIBC_2.4)(64bit)                     glibc-2.26-1.fc27.1.x86_64
cryptsetup-libs-1.7.5-3.fc27.x86_64               
├─rtld(GNU_HASH)                                  glibc-2.26-1.fc27.1.x86_64
├─libdl.so.2()(64bit)                             glibc-2.26-1.fc27.1.x86_64
├─libc.so.6(GLIBC_2.17)(64bit)                    glibc-2.26-1.fc27.1.x86_64
├─libuuid.so.1()(64bit)                           libuuid-2.30.1-1.fc27.x86_64
├─libdevmapper.so.1.02()(64bit)                   device-mapper-libs-1.02.142-4.fc27.x86_64
├─libdevmapper.so.1.02(Base)(64bit)               device-mapper-libs-1.02.142-4.fc27.x86_64
├─libgpg-error.so.0()(64bit)                      libgpg-error-1.27-3.fc27.x86_64
├─libdevmapper.so.1.02(DM_1_02_97)(64bit)         device-mapper-libs-1.02.142-4.fc27.x86_64
├─libuuid.so.1(UUID_1.0)(64bit)                   libuuid-2.30.1-1.fc27.x86_64
├─libgcrypt.so.20()(64bit)                        libgcrypt-1.7.8-3.fc27.x86_64
├─libgcrypt.so.20(GCRYPT_1.6)(64bit)              libgcrypt-1.7.8-3.fc27.x86_64
└─libgcrypt >= 1.6.1                              libgcrypt-1.7.8-3.fc27.x86_64
elfutils-libelf-0.170-1.fc27.x86_64               
├─rtld(GNU_HASH)                                  glibc-2.26-1.fc27.1.x86_64
├─libc.so.6(GLIBC_2.14)(64bit)                    glibc-2.26-1.fc27.1.x86_64
├─libz.so.1()(64bit)                              zlib-1.2.11-4.fc27.x86_64
├─ld-linux-x86-64.so.2()(64bit)                   glibc-2.26-1.fc27.1.x86_64
└─ld-linux-x86-64.so.2(GLIBC_2.3)(64bit)          glibc-2.26-1.fc27.1.x86_64
elfutils-libs-0.170-1.fc27.x86_64                 
├─rtld(GNU_HASH)                                  glibc-2.26-1.fc27.1.x86_64
├─libc.so.6(GLIBC_2.14)(64bit)                    glibc-2.26-1.fc27.1.x86_64
├─libdl.so.2()(64bit)                             glibc-2.26-1.fc27.1.x86_64
├─libz.so.1()(64bit)                              zlib-1.2.11-4.fc27.x86_64
├─libdl.so.2(GLIBC_2.2.5)(64bit)                  glibc-2.26-1.fc27.1.x86_64
├─ld-linux-x86-64.so.2()(64bit)                   glibc-2.26-1.fc27.1.x86_64
├─ld-linux-x86-64.so.2(GLIBC_2.3)(64bit)          glibc-2.26-1.fc27.1.x86_64
├─liblzma.so.5()(64bit)                           xz-libs-5.2.3-4.fc27.x86_64
├─libbz2.so.1()(64bit)                            bzip2-libs-1.0.6-24.fc27.x86_64
├─libelf.so.1()(64bit)                            elfutils-libelf-0.170-1.fc27.x86_64
├─liblzma.so.5(XZ_5.0)(64bit)                     xz-libs-5.2.3-4.fc27.x86_64
├─libelf.so.1(ELFUTILS_1.0)(64bit)                elfutils-libelf-0.170-1.fc27.x86_64
├─libelf.so.1(ELFUTILS_1.3)(64bit)                elfutils-libelf-0.170-1.fc27.x86_64
├─libelf.so.1(ELFUTILS_1.5)(64bit)                elfutils-libelf-0.170-1.fc27.x86_64
├─libelf.so.1(ELFUTILS_1.6)(64bit)                elfutils-libelf-0.170-1.fc27.x86_64
├─libelf.so.1(ELFUTILS_1.1.1)(64bit)              elfutils-libelf-0.170-1.fc27.x86_64
├─libelf.so.1(ELFUTILS_1.4)(64bit)                elfutils-libelf-0.170-1.fc27.x86_64
├─libelf.so.1(ELFUTILS_1.7)(64bit)                elfutils-libelf-0.170-1.fc27.x86_64
├─libz.so.1(ZLIB_1.2.2.3)(64bit)                  zlib-1.2.11-4.fc27.x86_64
├─default-yama-scope                              elfutils-default-yama-scope-0.170-1.fc27.noarch
└─elfutils-libelf(x86-64) = 0.170-1.fc27          elfutils-libelf-0.170-1.fc27.x86_64
iptables-libs-1.6.1-4.fc27.x86_64                 
├─rtld(GNU_HASH)                                  glibc-2.26-1.fc27.1.x86_64
├─libc.so.6(GLIBC_2.14)(64bit)                    glibc-2.26-1.fc27.1.x86_64
├─libdl.so.2()(64bit)                             glibc-2.26-1.fc27.1.x86_64
├─libdl.so.2(GLIBC_2.2.5)(64bit)                  glibc-2.26-1.fc27.1.x86_64
└─libpcap.so.1()(64bit)                           libpcap-14:1.8.1-6.fc27.x86_64
kmod-libs-24-3.fc27.x86_64                        
├─rtld(GNU_HASH)                                  glibc-2.26-1.fc27.1.x86_64
├─libz.so.1()(64bit)                              zlib-1.2.11-4.fc27.x86_64
├─libgcc_s.so.1()(64bit)                          libgcc-7.1.1-7.fc27.1.x86_64
├─libgcc_s.so.1(GCC_3.0)(64bit)                   libgcc-7.1.1-7.fc27.1.x86_64
├─libc.so.6(GLIBC_2.17)(64bit)                    glibc-2.26-1.fc27.1.x86_64
├─liblzma.so.5()(64bit)                           xz-libs-5.2.3-4.fc27.x86_64
├─libgcc_s.so.1(GCC_3.3.1)(64bit)                 libgcc-7.1.1-7.fc27.1.x86_64
└─liblzma.so.5(XZ_5.0)(64bit)                     xz-libs-5.2.3-4.fc27.x86_64
libblkid-2.30.1-1.fc27.x86_64                     
├─rtld(GNU_HASH)                                  glibc-2.26-1.fc27.1.x86_64
├─/sbin/ldconfig                                  glibc-2.26-1.fc27.1.x86_64
├─ld-linux-x86-64.so.2()(64bit)                   glibc-2.26-1.fc27.1.x86_64
├─ld-linux-x86-64.so.2(GLIBC_2.3)(64bit)          glibc-2.26-1.fc27.1.x86_64
├─libuuid.so.1()(64bit)                           libuuid-2.30.1-1.fc27.x86_64
├─libc.so.6(GLIBC_2.25)(64bit)                    glibc-2.26-1.fc27.1.x86_64
├─libuuid.so.1(UUID_1.0)(64bit)                   libuuid-2.30.1-1.fc27.x86_64
└─libuuid = 2.30.1-1.fc27                         libuuid-2.30.1-1.fc27.x86_64
libuuid-2.30.1-1.fc27.x86_64                      
├─rtld(GNU_HASH)                                  glibc-2.26-1.fc27.1.x86_64
├─ld-linux-x86-64.so.2()(64bit)                   glibc-2.26-1.fc27.1.x86_64
├─ld-linux-x86-64.so.2(GLIBC_2.3)(64bit)          glibc-2.26-1.fc27.1.x86_64
└─libc.so.6(GLIBC_2.25)(64bit)                    glibc-2.26-1.fc27.1.x86_64
util-linux-2.30.1-1.fc27.x86_64                   
├─rtld(GNU_HASH)                                  glibc-2.26-1.fc27.1.x86_64
├─libm.so.6()(64bit)                              glibc-2.26-1.fc27.1.x86_64
├─libz.so.1()(64bit)                              zlib-1.2.11-4.fc27.x86_64
├─libm.so.6(GLIBC_2.2.5)(64bit)                   glibc-2.26-1.fc27.1.x86_64
├─libselinux.so.1()(64bit)                        libselinux-2.7-1.fc27.x86_64
├─ld-linux-x86-64.so.2()(64bit)                   glibc-2.26-1.fc27.1.x86_64
├─ld-linux-x86-64.so.2(GLIBC_2.3)(64bit)          glibc-2.26-1.fc27.1.x86_64
├─librt.so.1()(64bit)                             glibc-2.26-1.fc27.1.x86_64
├─libcrypt.so.1()(64bit)                          libcrypt-2.26-1.fc27.1.x86_64
├─libutil.so.1()(64bit)                           glibc-2.26-1.fc27.1.x86_64
├─libsystemd.so.0()(64bit)                        systemd-libs-234-5.fc27.x86_64
├─librt.so.1(GLIBC_2.2.5)(64bit)                  glibc-2.26-1.fc27.1.x86_64
├─libuuid.so.1()(64bit)                           libuuid-2.30.1-1.fc27.x86_64
├─libaudit.so.1()(64bit)                          audit-libs-2.7.7-5.fc27.x86_64
├─libc.so.6(GLIBC_2.25)(64bit)                    glibc-2.26-1.fc27.1.x86_64
├─libblkid.so.1()(64bit)                          libblkid-2.30.1-1.fc27.x86_64
├─libtinfo.so.6()(64bit)                          ncurses-libs-6.0-13.20170722.fc27.x86_64
├─libcrypt.so.1(GLIBC_2.2.5)(64bit)               libcrypt-2.26-1.fc27.1.x86_64
├─libuuid.so.1(UUID_1.0)(64bit)                   libuuid-2.30.1-1.fc27.x86_64
├─libsystemd.so.0(LIBSYSTEMD_209)(64bit)          systemd-libs-234-5.fc27.x86_64
├─libblkid.so.1(BLKID_2.15)(64bit)                libblkid-2.30.1-1.fc27.x86_64
